Parameter,Values
LogPrior,0.0032306339794487826
barricaded,-0.6741754948122907
weeped,1.1175839744157638
rasuk,-1.9269384633076587
dribbled,1.4052660468675455
equated,0.018971685747654732
lenya,-0.6741754948122907
dunwich,1.6284095981817543
connaught,-1.0796406029204544
warningwe,-0.6741754948122907
primary,-0.18582272689835833
assimilate,-1.5904662266864449
masquerade,0.4889753149933913
quota,0.018971685747654732
blackbooks,1.1175839744157638
predicable,0.935262417621809
halitosis,1.4052660468675455
aetheist,1.4052660468675455
demolishes,-0.6741754948122907
dorney,-1.5904662266864449
tcampo,-0.6741754948122907
schizophrenic,-0.1751843286933017
overstayed,0.7121188663076001
edmonson,-0.6741754948122907
avoids,-0.4059115082176117
better,0.356283008576991
fullmoon,-1.0796406029204544
fl,0.7121188663076001
whispered,-0.386493422360509
keeling,0.018971685747654732
einmal,-1.0796406029204544
tcm,-0.971427018280222
annoucing,-0.6741754948122907
thorny,-0.6741754948122907
utilize,0.7121188663076001
decreasing,0.42443679385581845
cardinale,-0.6741754948122907
connectivity,0.7121188663076001
hourslong,0.7121188663076001
untidy,-1.5904662266864449
vasque,0.7121188663076001
practicly,0.7121188663076001
besch,-0.6741754948122907
abhorr,-0.6741754948122907
hasslin,-0.6741754948122907
lamo,0.7121188663076001
ron,0.30665375819943463
prevention,-0.386493422360509
selfappreciating,1.1175839744157638
sivan,-0.6741754948122907
desaturated,0.018971685747654732
wallop,-0.6741754948122907
alternatively,0.5297973095136452
humberfloob,1.4052660468675455
gargan,-0.6741754948122907
illicit,0.5579681864803412
glitxy,-0.6741754948122907
nastiness,-0.23234274253325182
firbank,0.018971685747654732
mayan,2.2702634843541496
fixit,-1.7727877834803998
dana,-0.06803969124197451
naor,-0.6741754948122907
canwith,0.7121188663076001
fizzled,0.018971685747654732
bergdorf,-1.0796406029204544
poisonous,0.35544392236886857
dey,-0.114559706876868
cusak,-0.6741754948122907
brinke,3.110014139105971
tomboy,0.5785874736830774
dingle,1.1175839744157638
whereas,-0.014364734519936917
costed,1.8107311549757092
parody,0.31693134095767483
visiteurs,1.1175839744157638
hera,-0.5406441021877679
insofar,1.2717346542430228
labored,0.42443679385581845
wined,0.7121188663076001
cherio,-0.6741754948122907
anjelica,0.42443679385581845
trike,-0.6741754948122907
acquisition,0.7121188663076001
heap,0.6839479893409024
nwh,-0.6741754948122907
bacharach,-0.5406441021877679
mildgore,0.7121188663076001
peopled,1.2717346542430228
vildan,0.7121188663076001
carnivale,-0.386493422360509
hardhearted,-0.6741754948122907
forthrightness,-0.6741754948122907
caribe,1.8107311549757092
douglas,-0.4611549511295294
voss,0.018971685747654732
jon,-0.17208355101505468
maltreated,0.7121188663076001
obscene,0.24211523706186355
estonian,-1.0796406029204544
ewww,0.42443679385581845
montaged,0.7121188663076001
electromagnetic,-0.6741754948122907
tapeworthy,-1.0796406029204544
pilfers,0.7121188663076001
faruza,0.7121188663076001
refunded,0.7121188663076001
gumby,2.3215567787416997
sholay,1.6676303113350368
queuing,0.018971685747654732
vulkan,-0.6741754948122907
munshi,-1.7727877834803998
cockle,-0.6741754948122907
gasp,0.3554439223688668
deposed,1.5230490825239276
repulse,0.018971685747654732
alienating,0.24211523706186355
px,-0.6741754948122907
eragon,-0.6741754948122907
inlove,-0.6741754948122907
tmtm,3.1544659016768044
soak,-0.2041718655665541
allegorically,0.7121188663076001
hatty,1.1175839744157638
neatly,-0.885484588479498
soot,-0.6741754948122907
chemotherapy,-0.6741754948122907
cherub,0.7121188663076001
amend,-1.0796406029204544
mancha,-0.386493422360509
podunk,-1.0796406029204544
pipsqueak,1.1175839744157638
horrifyingly,0.018971685747654732
montpelier,0.7121188663076001
gurgling,-0.26871038670412695
aaaaagh,-0.6741754948122907
mirroed,-0.6741754948122907
nisep,-0.6741754948122907
wierdo,-0.6741754948122907
terrify,1.1175839744157638
lever,0.5785874736830774
emanating,-0.9618575672640723
demonstrated,-0.1435472437501204
sorted,0.24211523706186355
pressure,-0.7246063484391829
shaven,1.3182546698779163
cobblepot,-1.0796406029204544
ulliel,-1.367322675372236
bivalve,1.6284095981817543
laudable,-0.8973190461264995
faulkner,-0.055136286406067825
poignantly,-0.5406441021877679
rasulala,-1.0796406029204544
lyc,-0.6741754948122907
comprehend,-0.24339257871983655
campfire,-0.06803969124197451
verb,-0.6741754948122907
ratoff,-0.6741754948122907
topicality,-0.6741754948122907
missing,0.39599885853528427
blackmail,-0.1480823989155109
effortless,-0.06107102192588165
athletics,0.935262417621809
blindfolded,0.3066537581994364
desde,-0.6741754948122907
ock,-0.6741754948122907
orchestrate,-0.6741754948122907
accidentally,-0.056063500195261184
colloquial,-1.7727877834803998
amzy,0.7121188663076001
boothe,-2.1782528915885653
anisten,0.7121188663076001
scot,-0.22219037106923345
incarnation,-0.386493422360509
exasperating,-0.6741754948122907
flourished,-1.5904662266864449
incredible,-1.0896909387739573
oki,0.42443679385581845
handelman,-0.6741754948122907
probobly,-0.6741754948122907
industrialisation,-0.6741754948122907
duryea,-1.302784154234665
showdown,-0.27729413039551964
amrohi,-1.9269384633076587
lydie,-0.6741754948122907
graff,1.8107311549757092
enacts,0.17312236557491367
villainry,-0.6741754948122907
pinhead,2.4168669585460254
reggae,-0.26871038670412695
sulfuric,-0.6741754948122907
impeachment,-0.6741754948122907
flogging,1.8107311549757092
superhu,1.1175839744157638
excitement,-0.1470134517266075
arbuckle,-0.2041718655665541
albertan,1.4052660468675455
chanteuse,-0.8973190461264995
shortest,-0.386493422360509
prepares,-1.4851057110286199
fresson,-0.6741754948122907
steelworker,-0.6741754948122907
hopelessly,1.0569593525993302
iterpretations,1.4052660468675455
airing,0.018971685747652955
maddin,1.6284095981817543
rejoin,-0.386493422360509
ballo,-0.6741754948122907
screwing,0.78111173779455
knotcher,-0.6741754948122907
helsig,0.7121188663076001
janitor,-0.07633849405667092
basking,-0.2041718655665541
jacqualine,0.7121188663076001
artistically,-1.2803112983826068
navajo,0.6067583506497733
intellectualize,0.018971685747654732
elkanah,-1.0796406029204544
deserving,-0.26871038670412695
pissy,-0.6741754948122907
dighton,-1.0796406029204544
endlessly,0.5422198295122023
bureacracy,0.018971685747654732
spastic,1.2229444900735906
amico,-0.6741754948122907
carpus,-0.6741754948122907
comptroller,-0.6741754948122907
masturbationscene,1.1175839744157638
wei,0.42443679385581845
withstood,0.935262417621809
excerpted,-1.0796406029204544
huzoor,-0.6741754948122907
coital,-0.6741754948122907
tep,0.42443679385581845
jung,0.13675472140403677
admirable,-0.20417186556655587
yul,-0.06803969124197451
gina,0.36072097946971127
zumhofe,1.1175839744157638
bossell,-0.6741754948122907
numbnuts,1.1175839744157638
talbot,-0.2041718655665541
unrelated,0.5297973095136452
telemovie,0.3066537581994364
tracking,-0.22025800331818068
tyson,0.42443679385581845
tonne,1.6284095981817543
narrower,0.018971685747654732
filming,0.20129324254160963
sneakpreview,0.7121188663076001
rastin,-0.6741754948122907
atchoo,-0.6741754948122907
rubix,1.1175839744157638
sneak,0.018971685747654732
ter,-0.6741754948122907
barrie,-1.5904662266864449
supervised,0.8662695461348591
mareno,-0.6741754948122907
pannings,0.7121188663076001
injures,0.7121188663076001
upholstery,-0.6741754948122907
landfill,0.018971685747654732
plasticizing,-0.6741754948122907
nastiest,-2.0604698559321815
contemprary,-0.6741754948122907
prescient,0.5297973095136452
sweltering,-1.5904662266864449
chocula,-0.6741754948122907
apologized,0.9998009387593818
mcgarrett,1.1175839744157638
wing,-0.23352407757908367
badamitabh,1.1175839744157638
regulating,0.018971685747654732
delegate,-1.0796406029204544
endurance,1.2229444900735906
cannes,-0.14533136554362258
falsification,0.7121188663076001
fidani,1.6284095981817543
toll,-1.2539939900652328
ruehl,-1.4851057110286199
ridding,1.4052660468675455
spock,0.2668078496522348
bureaucracy,-0.8564970516062456
jover,1.1175839744157638
hardness,-0.386493422360509
plagiaristic,-0.6741754948122907
ances,-1.0796406029204544
berkely,-1.367322675372236
ozjeppe,-0.6741754948122907
peeling,-0.8973190461264995
owned,0.10598306273728397
wow,0.3387420727509358
insidious,1.1175839744157638
rationalism,0.7121188663076001
reachindia,-0.6741754948122907
pervaded,0.018971685747654732
terror,-0.19875179809721644
timing,-0.41002391977070474
amendment,-2.2836134072463903
association,-0.7119158227951381
grammer,-1.367322675372236
trelkovsky,-3.239124852273827
pearly,-0.6741754948122907
flame,0.6380108941538776
leona,-0.26871038670412695
lombard,1.4052660468675437
grumpy,-0.3557217636937562
tuner,-0.6741754948122907
wabbit,-0.6741754948122907
lochlyn,1.4052660468675455
weinbauer,-0.6741754948122907
produce,0.33055927905298965
strausmann,-0.6741754948122907
bennington,0.7121188663076001
agricultural,0.42443679385581845
studi,-0.45103194349808184
assassinate,-0.5200248149850317
dd,-0.114559706876868
higgins,-0.386493422360509
ripped,1.129854067007578
dung,1.6676303113350368
francesco,0.42443679385581845
